year,wild_bees_occupancy_index,pollinator_occupancy_index,butterfly_unsmoothed_index,butterfly_smoothed_index,hoverflies_occupancy_index,habitat_index,birds_unsmoothed_index,birds_smoothed_index,broad-leaved_mixed_and_yew_woodland,neutral_grassland
1976,,,150.706815,100.0,,,,,,
1977,,,59.17426763,99.62323296,,,,,,
1978,,,84.55375351,99.24495886,,,,,,
1979,,,91.43929975,98.86819182,,,,,,
1980,100.0,100.0,85.92764148,98.48991771,100.0,,,,,
1981,100.9882369,102.2545111,59.17426763,98.11315068,102.5435954,,,,,
1982,101.5441489,104.3250511,107.9276924,97.73487657,105.1309488,,,,,
1983,101.8882958,106.1871249,97.0806983,97.35810953,107.7039436,,,,,
1984,101.8432697,108.0012097,128.8643809,96.97983543,110.4903453,,,,,
1985,101.1204018,109.6418555,95.74870119,96.60306839,113.6078691,,100.0,98.7560692133254,,
1986,99.81367868,110.7538957,88.94732498,96.22479429,116.3438583,,97.8540517744699,102.213491135107,,
1987,98.28803723,111.4392118,89.77034444,95.84802725,118.4676317,,108.839612640252,104.590358781808,,
1988,96.62980904,110.5932776,76.93658257,95.46975314,117.917364,,108.039366053359,106.166128471211,,
1989,95.21105393,109.2150684,101.6559707,95.0929861,116.0931892,,102.024830666373,106.444913799663,,
1990,94.24844531,107.7983354,108.425864,94.714712,113.7592222,,107.842539660438,105.330228291716,0.134,0.3463
1991,94.02569382,106.6675253,102.5965818,94.33794496,111.4981167,,106.787881441172,105.727214053412,,
1992,94.71438512,106.0593686,128.2723028,93.95967086,109.8967037,,103.364321970686,106.948707416837,,
1993,96.2008511,105.8542915,85.73001339,93.58290382,108.7275091,,109.908166619472,107.783892960192,,
1994,98.03952118,105.9078766,93.78489393,93.20462971,107.6510151,,109.731994326492,107.691464324181,,
1995,99.62721497,105.4325825,110.4416513,92.82786268,105.5061042,,105.727425566002,106.980786947392,,
1996,100.7368003,104.4841587,110.1876426,92.44958857,102.5365243,,105.481857138642,105.465383756864,,
1997,101.035117,103.2707446,115.1152581,92.07282153,99.40757416,,,,,
1998,100.6945715,102.0659748,81.6832279,91.69454743,97.11092731,,,,0.1076,0.5826
1999,100.2171288,101.195822,81.12092451,91.31778039,95.80134858,,100.0,104.503099346775,,
2000,100.0503915,100.5028073,85.33611976,90.93950628,94.80120809,,96.3345088989737,94.1767822356609,,
2001,99.76043692,100.0548793,80.74820772,90.56273925,94.46446275,,93.3542840146826,83.2684523423852,,
2002,99.92957771,100.2845728,78.36694043,90.18446514,94.74593565,,71.0159564240379,72.7015093932578,,
2003,101.3262999,100.3910256,95.08957176,89.8076981,94.15530632,,63.7820812006049,61.4004536905884,,
2004,102.625846,100.0200362,99.57100522,89.429424,92.7537142,,47.8583509019603,51.8626549300907,,
2005,103.6996436,99.62352142,91.2289952,89.05114989,91.44450735,,43.5866719657157,47.6520639370484,,
2006,103.9035898,98.9235546,99.80054009,88.67438286,90.3357846,,52.8472832420495,47.0106619147059,,
2007,102.5086301,97.55773856,68.72787111,88.29610875,89.25055347,,51.7351957843592,49.6242108793686,0.0742,0.6756
2008,100.1500727,95.82255586,63.99306205,87.91934171,88.07056037,,46.2315116267547,55.5864175511613,,
2009,97.9440882,93.84320407,84.9440359,87.54106761,86.24923967,,63.896266317986,61.6973920775323,,
2010,96.28852942,91.25623503,100.0306041,87.16430057,83.16186254,,78.2929873666624,65.2712352767118,,
2011,95.60780592,88.55616907,95.30877587,86.78602646,79.4186045,,65.5725212147695,67.879887510627,,
2012,95.4682468,86.12542347,55.60743867,86.40925943,75.96118092,,66.0069314984745,68.8545044810171,,
2013,96.41526645,84.25146359,90.18470553,86.03098532,72.58836986,,,,,
2014,98.6242194,82.6340791,91.2289952,85.65421828,69.03076227,,,,,
2015,101.826994,81.32929655,81.87152719,85.27594418,65.58590016,99.7475,,,,
2016,104.7534069,80.50192746,64.73406679,84.89917714,62.9696957,97.2025,,,,
2017,107.2731955,79.69452501,76.58309108,84.52090304,60.64154474,94.30250000000001,,,,
2018,109.9575677,79.03889733,102.1251933,84.144136,58.48904193,95.1275,,,,
2019,112.8108515,78.65921554,100.0306041,83.76586189,56.83224707,93.715,,,,
2020,115.8940163,78.74869315,94.65267487,83.38909485,55.77241266,107.60249999999999,,,,
2021,117.6638627,78.97988773,85.33611976,83.01082075,55.77025876,96.8975,,,,
2022,118.6261825,78.98136816,85.13985213,82.63405371,56.17770098,100.17750000000001,,,,
2023,,78.23543475,90.80983604,82.25577961,,101.76,,,,
2024,,77.29549419,58.36236624,81.87901257,,104.1525,,,,
